Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
roggebrood (donker)	100	g	189,00	5	40	1
roggebrood (licht)	100	g	197,00	7	40	1
rolmops	1	stuk	125,00	10	1	9
rondo	100	g	435,60	5,5	61,1	18,8
rookvlees	100	g	152,50	22,9	0,6	6,5
rookworst	100	g	338,00	13	4	30
rookworst (light)	100	g	248,00	16	1	20
roomijs	100	g	159,00	4	20	7
roomijs caramel	100	ml	121,50	1,5	12	7,5
roomijs pecan caramel	100	ml	104,00	1,5	11	6
roomijs stracciatella	100	ml	117,00	1,5	12	7
roomkaas (60+)	100	g	422,00	20	0	38
roomsoes	100	g	247,80	4,2	33	11
roquefort	100	g	359,00	19	1	31
rosbief	100	g	115,00	22	0	3
rosti	100	g	144,70	1,9	22,8	5,1
roti (alleen koek)	100	g	244,70	8,2	43,3	4,3
roti (kip)	100	g	168,00	12,1	20,9	4
rozebottelsiroop	100	g	228,00	0	57	0
rozijnen	100	g	276,20	2	64,8	1
rozijnenbrood	100	g	255,00	7	50	3
rubens	100	g	326,80	24,1	0	25,6
rundbouillion	100	ml	1,20	0	0,3	0
rundergehakt	100	g	197,00	20	0	13
runderlappen (vet)	100	g	278,90	31	0,7	16,9
runderpoelet	100	g	195,40	30,8	0,5	7,8
runderrollade	100	g	167,70	28,3	0,8	5,7
rundertong	100	g	210,00	16	0,5	16
saint paulin	100	g	329,00	25	1	25
salami	100	g	414,00	18	0	38
salami (beleg)	100	g	522,00	18	0	50
salami (zwan)	100	g	487,10	17,6	0	46,3
sambal oelek	100	g	20,00	3	2	0
sandwich	1	stuk	159,00	5	28	3
sandwichspread	100	g	228,00	2	14,5	18
santane cottage cheese	100	g	105,00	11	4	5
santane smeerkaas ham	100	g	190,20	14,5	8,3	11
santane smeerkaas natuur	100	g	190,20	14,5	8,3	11
santane tilsit	100	g	281,40	32	0,1	17
santen, kokosmelk	100	g	346,00	4	6	34
sardines (blik)	100	g	226,00	24	1	14
sate kip-met saus	100	g	187,00	16	6	11
sate varkens-met saus	100	g	226,20	15,1	6,8	15,4
satesaus	100	g	310,50	8,5	18,5	22,5
saucijs	100	g	308,40	22,2	0,9	24
saucijzebroodje	100	g	446,00	11	33	30
saucisson	100	g	375,10	15	0,7	34,7
saus napoletana	100	g	208,00	0	52	0
sausijsjes (varken)	100	g	252,00	18	0	20
scampi	100	g	90,00	18	0	2
schapekaas	100	g	341,40	13,9	8,9	27,8
schapekaas (mager)	100	g	318,90	18,4	7,1	24,1
schapentong	100	g	187,20	13,5	0	14,8
schapevlees	100	g	293,00	17	0	25
schar (gebakken)	100	g	118,10	21,5	0,6	3,3
schaschliksaus	100	g	99,70	0,7	24	0,1
schelvis	100	g	76,50	18	0	0,5
schelvislever	100	g	408,70	7	0	42,3
schnitzel (met kaas)	100	g	324,00	18	18	20
schol	100	g	68,90	17	0	0,1
schorseneren	100	g	68,00	1	16	0
schouderham	100	g	194,00	16	1	14
schuimpje	100	g	380,00	0	95	0
seitan	100	g	90,40	19,6	3	0
selderijsalade	100	g	334,00	1	6	34
